EmployeeCount,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlySalary
1,41,Yes,Travel_Rarely,1102,Sales,1,College,2,Female,3,2,Sales Executive,4,Single,8,Yes,11,3,1,0,8,0,1,6,4,0,5,24244
2,49,No,Travel_Frequently,279,Research & Development,8,Below College,3,Male,2,2,Research Scientist,2,Married,1,No,23,4,4,1,10,3,3,10,7,1,7,6138
3,37,Yes,Travel_Rarely,1373,Research & Development,2,College,4,Male,2,1,Laboratory Technician,3,Single,6,Yes,15,3,2,0,7,3,3,0,0,0,0,30206
4,33,No,Travel_Frequently,1392,Research & Development,3,Master,4,Female,3,1,Research Scientist,3,Married,1,Yes,11,3,3,0,8,3,3,8,7,3,0,30624
5,27,No,Travel_Rarely,591,Research & Development,2,Below College,1,Male,3,1,Laboratory Technician,2,Married,9,No,12,3,4,1,6,3,3,2,2,2,2,13002
6,32,No,Travel_Frequently,1005,Research & Development,2,College,4,Male,3,1,Laboratory Technician,4,Single,0,No,13,3,3,0,8,2,2,7,7,3,6,22110
7,59,No,Travel_Rarely,1324,Research & Development,3,Bachelor,3,Female,4,1,Laboratory Technician,1,Married,4,Yes,20,4,1,3,12,3,2,1,0,0,0,29128
8,30,No,Travel_Rarely,1358,Research & Development,24,Below College,4,Male,3,1,Laboratory Technician,3,Divorced,1,No,22,4,2,1,1,2,3,1,0,0,0,29876
9,38,No,Travel_Frequently,216,Research & Development,23,Bachelor,4,Male,2,3,Manufacturing Director,3,Single,0,No,21,4,2,0,10,2,3,9,7,1,8,4752
10,36,No,Travel_Rarely,1299,Research & Development,27,Bachelor,3,Male,3,2,Healthcare Representative,3,Married,6,No,13,3,2,2,17,3,2,7,7,7,7,28578
11,35,No,Travel_Rarely,809,Research & Development,16,Bachelor,1,Male,4,1,Laboratory Technician,2,Married,0,No,13,3,3,1,6,5,3,5,4,0,3,17798
12,29,No,Travel_Rarely,153,Research & Development,15,College,4,Female,2,2,Laboratory Technician,3,Single,0,Yes,12,3,4,0,10,3,3,9,5,0,8,3366
13,31,No,Travel_Rarely,670,Research & Development,26,Below College,1,Male,3,1,Research Scientist,3,Divorced,1,No,17,3,4,1,5,1,2,5,2,4,3,14740
14,34,No,Travel_Rarely,1346,Research & Development,19,College,2,Male,3,1,Laboratory Technician,4,Divorced,0,No,11,3,3,1,3,2,3,2,2,1,2,29612
15,28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor,3,Male,2,1,Laboratory Technician,3,Single,5,Yes,14,3,2,0,6,4,3,4,2,0,3,2266
16,29,No,Travel_Rarely,1389,Research & Development,21,Master,2,Female,4,3,Manufacturing Director,1,Divorced,1,No,11,3,3,1,10,1,3,10,9,8,8,30558
17,32,No,Travel_Rarely,334,Research & Development,5,College,1,Male,4,1,Research Scientist,2,Divorced,0,Yes,12,3,4,2,7,5,2,6,2,0,5,7348
18,22,No,Non-Travel,1123,Research & Development,16,College,4,Male,4,1,Laboratory Technician,4,Divorced,1,Yes,13,3,2,2,1,2,2,1,0,0,0,24706
19,53,No,Travel_Rarely,1219,Sales,2,Master,1,Female,2,4,Manager,4,Married,2,No,16,3,3,0,31,3,3,25,8,3,7,26818
20,38,No,Travel_Rarely,371,Research & Development,2,Bachelor,4,Male,3,1,Research Scientist,4,Single,5,Yes,11,3,3,0,6,3,3,3,2,1,2,8162
21,24,No,Non-Travel,673,Research & Development,11,College,1,Female,4,2,Manufacturing Director,3,Divorced,0,No,18,3,4,1,5,5,2,4,2,1,3,14806
22,36,Yes,Travel_Rarely,1218,Sales,9,Master,3,Male,2,1,Sales Representative,1,Single,7,No,23,4,2,0,10,4,3,5,3,0,3,26796
23,34,No,Travel_Rarely,419,Research & Development,7,Master,1,Female,3,3,Research Director,2,Single,0,No,11,3,3,0,13,4,3,12,6,2,11,9218
24,21,No,Travel_Rarely,391,Research & Development,15,College,3,Male,3,1,Research Scientist,4,Single,1,No,14,3,4,0,0,6,3,0,0,0,0,8602
25,34,Yes,Travel_Rarely,699,Research & Development,6,Below College,2,Male,3,1,Research Scientist,1,Single,2,No,11,3,3,0,8,2,3,4,2,1,3,15378
26,53,No,Travel_Rarely,1282,Research & Development,5,Bachelor,3,Female,3,5,Manager,3,Divorced,4,No,11,3,4,1,26,3,2,14,13,4,8,28204
27,32,Yes,Travel_Frequently,1125,Research & Development,16,Below College,2,Female,1,1,Research Scientist,1,Single,1,Yes,22,4,2,0,10,5,3,10,2,6,7,24750
28,42,No,Travel_Rarely,691,Sales,8,Master,3,Male,3,2,Sales Executive,2,Married,0,No,11,3,4,1,10,2,3,9,7,4,2,15202
29,44,No,Travel_Rarely,477,Research & Development,7,Master,1,Female,2,3,Healthcare Representative,4,Married,3,No,14,3,4,1,24,4,3,22,6,5,17,10494
30,46,No,Travel_Rarely,705,Sales,2,Master,2,Female,3,5,Manager,1,Single,3,No,12,3,4,0,22,2,2,2,2,2,1,15510
31,33,No,Travel_Rarely,924,Research & Development,2,Bachelor,3,Male,3,1,Laboratory Technician,4,Single,4,No,11,3,4,0,7,3,3,1,1,0,0,20328
32,44,No,Travel_Rarely,1459,Research & Development,10,Master,4,Male,3,2,Healthcare Representative,4,Married,2,Yes,13,3,4,0,9,5,4,4,2,1,3,32098
33,30,No,Travel_Rarely,125,Research & Development,9,College,4,Male,2,1,Laboratory Technician,3,Single,1,No,13,3,1,0,10,5,3,10,0,1,8,2750
34,39,Yes,Travel_Rarely,895,Sales,5,Bachelor,4,Male,3,2,Sales Representative,4,Married,3,No,14,3,3,1,19,6,4,1,0,0,0,19690
35,24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor,2,Male,3,1,Research Scientist,4,Married,2,Yes,16,3,1,1,6,2,2,2,0,2,0,17886
36,43,No,Travel_Rarely,1273,Research & Development,2,College,4,Female,4,1,Research Scientist,3,Divorced,1,No,12,3,4,2,6,3,2,5,3,1,4,28006
37,50,Yes,Travel_Rarely,869,Sales,3,College,1,Male,2,1,Sales Representative,3,Married,1,Yes,14,3,3,0,3,2,3,3,2,0,2,19118
38,35,No,Travel_Rarely,890,Sales,2,Bachelor,4,Female,3,1,Sales Representative,4,Married,1,No,13,3,1,0,2,3,3,2,2,2,2,19580
39,36,No,Travel_Rarely,852,Research & Development,5,Master,2,Female,2,1,Research Scientist,1,Married,9,Yes,14,3,4,1,6,3,4,1,1,0,0,18744
40,33,No,Travel_Frequently,1141,Sales,1,Bachelor,3,Female,4,2,Sales Executive,1,Married,2,No,19,3,1,2,10,3,3,5,3,1,3,25102
41,35,No,Travel_Rarely,464,Research & Development,4,College,3,Male,3,1,Laboratory Technician,4,Divorced,1,No,12,3,3,1,1,3,3,1,0,0,0,10208
42,27,No,Travel_Rarely,1240,Research & Development,2,Master,4,Female,3,1,Laboratory Technician,1,Divorced,1,No,13,3,4,1,1,6,3,1,0,0,0,27280
43,26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelor,1,Male,1,1,Laboratory Technician,3,Single,1,No,12,3,3,0,1,2,2,1,0,0,1,29854
44,27,No,Travel_Frequently,994,Sales,8,Bachelor,4,Male,3,3,Sales Executive,3,Single,1,No,15,3,4,0,9,0,3,9,8,1,7,21868
45,30,No,Travel_Frequently,721,Research & Development,1,College,3,Female,3,2,Laboratory Technician,4,Single,1,No,23,4,4,0,12,2,3,12,8,3,7,15862
46,41,Yes,Travel_Rarely,1360,Research & Development,12,Bachelor,2,Female,3,5,Research Director,3,Married,1,No,12,3,4,0,23,0,3,22,15,15,8,29920
47,34,No,Non-Travel,1065,Sales,23,Master,2,Male,3,2,Sales Executive,3,Single,0,No,20,4,3,0,10,2,3,9,5,8,7,23430
48,37,No,Travel_Rarely,408,Research & Development,19,College,2,Male,3,1,Research Scientist,2,Married,4,No,21,4,1,0,8,1,3,1,0,0,0,8976
49,46,No,Travel_Frequently,1211,Sales,5,Master,1,Male,3,2,Sales Executive,4,Single,4,Yes,21,4,3,0,14,4,3,9,6,0,8,26642
50,35,No,Travel_Rarely,1229,Research & Development,8,Below College,4,Male,4,1,Laboratory Technician,4,Married,1,No,19,3,4,0,1,2,3,1,0,0,1,27038
51,48,Yes,Travel_Rarely,626,Research & Development,1,College,1,Male,2,3,Laboratory Technician,3,Single,9,Yes,13,3,4,0,23,2,3,1,0,0,0,13772
52,28,Yes,Travel_Rarely,1434,Research & Development,5,Master,3,Male,3,1,Laboratory Technician,3,Single,1,Yes,13,3,3,0,2,3,2,2,2,2,2,31548
53,44,No,Travel_Rarely,1488,Sales,1,Doctor,2,Female,3,2,Sales Executive,1,Divorced,5,Yes,21,4,3,1,9,2,2,4,3,1,3,32736
54,35,No,Non-Travel,1097,Research & Development,11,College,3,Male,2,3,Healthcare Representative,1,Married,2,Yes,13,3,3,1,10,3,3,4,0,2,3,24134
55,26,No,Travel_Rarely,1443,Sales,23,Bachelor,3,Female,2,2,Sales Executive,4,Married,7,Yes,19,3,3,1,5,2,2,2,2,0,0,31746
56,33,No,Travel_Frequently,515,Research & Development,1,College,1,Female,3,3,Research Director,4,Single,1,Yes,12,3,3,0,15,1,3,15,14,8,12,11330
