Feature,Chi-Squared Statistic,P-Value,Significant
Age,119.1749488286986,2.5758529842770494e-09,True
BusinessTravel,24.182413685655174,5.608614476449931e-06,True
DailyRate,871.5185766936668,0.6202800346988611,False
Department,10.79600732241067,0.004525606574479634,True
DistanceFromHome,38.16850025507776,0.09525313501707135,False
Education,3.0739613982367193,0.5455253376565949,False
EnvironmentSatisfaction,22.503881435842295,5.1234689062894205e-05,True
Gender,1.1169671241970975,0.29057244902890855,False
JobInvolvement,28.492021234659283,2.8631806367134195e-06,True
JobLevel,72.5290131066739,6.634684715458957e-15,True
JobRole,86.19025367670434,2.7524816380506567e-15,True
JobSatisfaction,17.505077010348,0.0005563004510387556,True
MaritalStatus,46.163676540848705,9.455511060340833e-11,True
NumCompaniesWorked,25.744404417151316,0.0022491782946850534,True
OverTime,87.56429365828768,8.158423721538322e-21,True
PercentSalaryHike,13.352748467459849,0.4989552229272689,False
PerformanceRating,0.00015475439428271534,0.9900745465934576,False
RelationshipSatisfaction,5.241067859713709,0.15497244371052638,False
StockOptionLevel,60.59830108612225,4.379390336108354e-13,True
TotalWorkingYears,122.30224255272786,1.5862421997095128e-10,True
TrainingTimesLastYear,15.146451478483337,0.01914772986009514,True
WorkLifeBalance,16.3250970916474,0.0009725698845348822,True
YearsAtCompany,95.38875492754013,2.8429800084268176e-07,True
YearsInCurrentRole,64.30094425056491,4.0560190505203795e-07,True
YearsSinceLastPromotion,21.844969938120684,0.11193387671448679,False
YearsWithCurrManager,74.6171841152656,3.40833711883961e-09,True
MonthlySalary,871.5185766936668,0.6202800346988611,False
